freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.011e+01,5.249e+01,5.412e+02,6.638e+02
1.6,2.613e+02,2.107e+02,3.346e+02,8.066e+02
3.2,3.259e+02,2.896e+02,6.978e+01,6.853e+02
4.8,3.370e+02,3.723e+02,4.557e+02,1.165e+03
6.4,3.112e+02,2.803e+02,1.283e+03,1.874e+03
8.0,3.077e+02,2.943e+02,2.036e+03,2.638e+03
9.6,3.356e+02,3.234e+02,3.012e+03,3.671e+03
11.2,2.967e+02,3.225e+02,4.158e+03,4.777e+03
12.8,3.526e+02,3.052e+02,5.507e+03,6.165e+03
14.4,4.015e+02,3.249e+02,7.044e+03,7.770e+03
16.0,3.981e+02,3.810e+02,8.360e+03,9.139e+03
17.6,3.875e+02,3.818e+02,1.037e+04,1.114e+04
19.2,3.389e+02,3.706e+02,1.302e+04,1.373e+04
20.8,3.603e+02,3.587e+02,1.581e+04,1.653e+04
22.3,3.576e+02,3.560e+02,1.870e+04,1.942e+04
23.9,3.465e+02,3.554e+02,2.219e+04,2.289e+04
25.5,4.202e+02,3.876e+02,2.628e+04,2.709e+04
27.1,3.653e+02,3.433e+02,3.086e+04,3.157e+04
28.7,2.902e+02,3.388e+02,3.609e+04,3.672e+04
30.3,3.132e+02,3.469e+02,4.184e+04,4.250e+04
31.9,3.567e+02,3.690e+02,4.876e+04,4.948e+04
33.5,3.992e+02,4.371e+02,5.595e+04,5.678e+04
35.1,4.178e+02,4.902e+02,6.499e+04,6.589e+04
36.7,3.523e+02,4.953e+02,7.701e+04,7.786e+04
38.3,3.941e+02,5.038e+02,9.199e+04,9.289e+04
39.9,3.819e+02,6.688e+02,1.117e+05,1.127e+05
41.5,3.798e+02,8.600e+02,1.368e+05,1.380e+05
43.1,3.023e+02,1.140e+03,1.698e+05,1.713e+05
44.7,2.905e+02,1.512e+03,2.099e+05,2.117e+05
46.3,4.747e+02,2.250e+03,2.623e+05,2.650e+05
47.9,8.331e+02,3.384e+03,3.477e+05,3.519e+05
49.5,1.058e+03,4.715e+03,4.588e+05,4.646e+05
51.1,6.684e+02,6.147e+03,6.356e+05,6.424e+05
52.7,9.143e+02,9.561e+03,9.477e+05,9.582e+05
54.3,3.266e+03,1.546e+04,1.453e+06,1.472e+06
55.9,8.074e+03,2.234e+04,2.185e+06,2.216e+06
57.5,1.112e+04,2.530e+04,2.762e+06,2.799e+06
59.1,1.083e+04,2.333e+04,2.648e+06,2.683e+06
60.7,7.503e+03,1.840e+04,2.054e+06,2.080e+06
62.3,4.166e+03,1.389e+04,1.475e+06,1.493e+06
63.8,2.235e+03,1.048e+04,1.035e+06,1.048e+06
65.4,1.366e+03,9.385e+03,7.389e+05,7.496e+05
67.0,7.638e+02,8.261e+03,5.192e+05,5.283e+05
68.6,6.366e+02,5.980e+03,3.401e+05,3.467e+05
70.2,6.039e+02,3.392e+03,2.204e+05,2.244e+05
71.8,8.391e+02,1.818e+03,1.407e+05,1.434e+05
73.4,1.794e+03,2.520e+03,1.021e+05,1.064e+05
75.0,6.470e+03,8.397e+03,8.712e+04,1.020e+05
76.6,1.534e+04,1.972e+04,1.116e+05,1.466e+05
78.2,2.047e+04,2.501e+04,1.296e+05,1.751e+05
79.8,2.093e+04,2.220e+04,1.273e+05,1.704e+05
81.4,2.021e+04,1.627e+04,1.165e+05,1.529e+05
83.0,1.802e+04,1.073e+04,1.177e+05,1.465e+05
84.6,1.303e+04,5.238e+03,1.284e+05,1.467e+05
86.2,7.407e+03,1.971e+03,1.318e+05,1.412e+05
87.8,3.855e+03,1.327e+03,1.421e+05,1.473e+05
89.4,1.896e+03,2.364e+03,1.495e+05,1.538e+05
91.0,7.389e+02,3.460e+03,1.491e+05,1.533e+05
92.6,5.300e+02,3.196e+03,1.448e+05,1.485e+05
94.2,7.860e+02,4.072e+03,1.437e+05,1.486e+05
95.8,2.575e+03,8.987e+03,1.425e+05,1.541e+05
97.4,6.075e+03,1.116e+04,1.291e+05,1.463e+05
99.0,2.537e+03,1.178e+04,1.236e+05,1.380e+05
100.6,8.566e+02,2.068e+04,1.275e+05,1.490e+05
102.2,1.076e+03,3.234e+04,1.356e+05,1.690e+05
103.8,1.563e+03,3.756e+04,1.485e+05,1.876e+05
105.3,1.537e+03,4.382e+04,1.535e+05,1.989e+05
106.9,1.484e+03,5.472e+04,1.436e+05,1.998e+05
108.5,1.683e+03,6.184e+04,1.332e+05,1.968e+05
110.1,1.939e+03,6.676e+04,1.268e+05,1.955e+05
111.7,2.075e+03,6.676e+04,1.113e+05,1.801e+05
113.3,2.114e+03,6.361e+04,8.596e+04,1.517e+05
114.9,2.595e+03,7.678e+04,7.982e+04,1.592e+05
116.5,3.028e+03,9.306e+04,7.662e+04,1.727e+05
118.1,3.292e+03,1.018e+05,6.657e+04,1.716e+05
119.7,3.875e+03,1.006e+05,5.645e+04,1.609e+05
121.3,5.636e+03,9.301e+04,5.272e+04,1.514e+05
122.9,9.038e+03,7.995e+04,5.328e+04,1.423e+05
124.5,1.261e+04,6.357e+04,5.965e+04,1.358e+05
126.1,1.372e+04,4.857e+04,6.545e+04,1.277e+05
127.7,1.290e+04,3.683e+04,6.846e+04,1.182e+05
129.3,1.343e+04,3.068e+04,7.140e+04,1.155e+05
130.9,1.159e+04,2.883e+04,7.247e+04,1.129e+05
132.5,6.224e+03,1.889e+04,4.887e+04,7.398e+04
134.1,1.600e+03,5.636e+03,8.300e+03,1.554e+04
135.7,8.129e+02,3.112e+03,1.166e+03,5.091e+03
137.3,9.536e+02,3.509e+03,1.614e+03,6.076e+03
138.9,1.267e+03,4.642e+03,1.578e+03,7.488e+03
140.5,1.284e+03,5.048e+03,9.374e+02,7.269e+03
142.1,1.086e+03,4.787e+03,4.985e+02,6.371e+03
143.7,1.013e+03,4.912e+03,5.495e+02,6.475e+03
145.3,9.942e+02,5.002e+03,7.066e+02,6.703e+03
146.8,1.106e+03,4.942e+03,8.619e+02,6.910e+03
148.4,1.284e+03,5.063e+03,8.747e+02,7.222e+03
150.0,1.553e+03,5.434e+03,8.643e+02,7.852e+03
151.6,1.974e+03,6.130e+03,7.990e+02,8.903e+03
153.2,2.458e+03,6.909e+03,7.673e+02,1.013e+04
154.8,3.072e+03,8.441e+03,8.547e+02,1.237e+04
156.4,3.867e+03,1.072e+04,1.055e+03,1.565e+04
158.0,4.167e+03,1.302e+04,1.580e+03,1.876e+04
159.6,5.218e+03,1.597e+04,1.876e+03,2.306e+04
161.2,5.116e+03,1.691e+04,2.192e+03,2.422e+04
162.8,4.389e+03,1.572e+04,2.949e+03,2.305e+04
164.4,4.775e+03,1.445e+04,3.722e+03,2.295e+04
166.0,6.088e+03,1.583e+04,4.873e+03,2.679e+04
167.6,7.191e+03,1.553e+04,7.192e+03,2.991e+04
169.2,8.105e+03,1.462e+04,1.104e+04,3.376e+04
170.8,8.789e+03,1.426e+04,1.549e+04,3.854e+04
172.4,8.917e+03,1.420e+04,1.746e+04,4.058e+04
174.0,9.223e+03,1.668e+04,1.999e+04,4.589e+04
175.6,1.112e+04,1.975e+04,2.593e+04,5.680e+04
177.2,1.094e+04,1.933e+04,3.039e+04,6.066e+04
178.8,1.165e+04,2.478e+04,3.394e+04,7.038e+04
180.4,1.103e+04,2.458e+04,3.051e+04,6.612e+04
182.0,9.868e+03,2.296e+04,2.605e+04,5.888e+04
183.6,9.207e+03,2.159e+04,2.117e+04,5.197e+04
185.2,7.357e+03,1.858e+04,1.615e+04,4.209e+04
186.8,6.288e+03,1.705e+04,1.355e+04,3.689e+04
188.3,6.450e+03,1.689e+04,1.383e+04,3.717e+04
189.9,8.141e+03,1.863e+04,1.586e+04,4.263e+04
191.5,9.657e+03,2.204e+04,1.595e+04,4.764e+04
193.1,8.666e+03,2.360e+04,1.276e+04,4.502e+04
194.7,8.694e+03,2.276e+04,1.260e+04,4.406e+04
196.3,1.057e+04,2.354e+04,1.615e+04,5.025e+04
197.9,1.367e+04,2.460e+04,2.067e+04,5.894e+04
199.5,1.703e+04,2.421e+04,2.574e+04,6.697e+04
