freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.387e+01,2.362e+02,8.676e+00,3.087e+02
1.6,7.695e+01,1.543e+02,2.581e+01,2.570e+02
3.2,5.251e+01,6.089e+01,2.559e+01,1.390e+02
4.8,5.488e+01,5.057e+02,2.951e+01,5.901e+02
6.4,6.755e+01,1.491e+03,3.458e+01,1.593e+03
8.0,7.317e+01,1.886e+03,3.147e+01,1.990e+03
9.6,6.051e+01,2.622e+03,2.696e+01,2.709e+03
11.2,5.500e+01,3.835e+03,2.953e+01,3.920e+03
12.8,7.139e+01,5.558e+03,3.147e+01,5.661e+03
14.4,1.017e+02,7.699e+03,3.533e+01,7.836e+03
16.0,7.460e+01,9.910e+03,3.570e+01,1.002e+04
17.6,6.977e+01,1.216e+04,2.893e+01,1.226e+04
19.2,7.388e+01,1.433e+04,3.299e+01,1.444e+04
20.7,7.570e+01,1.709e+04,3.769e+01,1.721e+04
22.3,8.710e+01,2.062e+04,4.594e+01,2.075e+04
23.9,1.103e+02,2.532e+04,5.332e+01,2.549e+04
25.5,1.494e+02,3.085e+04,6.784e+01,3.107e+04
27.1,1.863e+02,3.769e+04,8.009e+01,3.796e+04
28.7,2.117e+02,4.731e+04,7.966e+01,4.760e+04
30.3,3.018e+02,6.161e+04,6.017e+01,6.197e+04
31.9,5.264e+02,8.024e+04,1.034e+02,8.087e+04
33.5,8.812e+02,9.835e+04,1.986e+02,9.943e+04
35.1,1.410e+03,1.151e+05,2.104e+02,1.167e+05
36.7,3.165e+03,1.526e+05,2.587e+02,1.560e+05
38.3,6.849e+03,2.142e+05,5.150e+02,2.216e+05
39.9,1.149e+04,2.611e+05,8.231e+02,2.734e+05
41.5,1.980e+04,3.133e+05,1.038e+03,3.341e+05
43.1,3.376e+04,3.606e+05,1.485e+03,3.959e+05
44.7,4.027e+04,3.125e+05,1.698e+03,3.544e+05
46.3,3.594e+04,2.318e+05,6.481e+02,2.684e+05
47.9,4.504e+04,1.726e+05,2.302e+02,2.179e+05
49.5,4.511e+04,1.281e+05,5.976e+02,1.738e+05
51.1,4.938e+04,1.066e+05,7.149e+02,1.567e+05
52.7,7.449e+04,7.773e+04,5.758e+02,1.528e+05
54.3,1.140e+05,5.874e+04,9.202e+02,1.737e+05
55.9,1.475e+05,6.165e+04,1.786e+03,2.110e+05
57.5,1.565e+05,8.256e+04,2.426e+03,2.414e+05
59.1,1.333e+05,1.011e+05,2.134e+03,2.365e+05
60.6,9.858e+04,1.050e+05,2.384e+03,2.060e+05
62.2,8.294e+04,1.115e+05,4.404e+03,1.989e+05
63.8,8.229e+04,1.267e+05,8.494e+03,2.175e+05
65.4,1.002e+05,1.705e+05,1.348e+04,2.842e+05
67.0,1.041e+05,1.962e+05,1.300e+04,3.133e+05
68.6,9.485e+04,1.966e+05,1.046e+04,3.019e+05
70.2,8.757e+04,1.864e+05,9.209e+03,2.832e+05
71.8,7.727e+04,1.606e+05,7.313e+03,2.452e+05
73.4,7.061e+04,1.442e+05,5.669e+03,2.205e+05
75.0,6.982e+04,1.351e+05,4.554e+03,2.094e+05
76.6,7.285e+04,1.305e+05,3.940e+03,2.072e+05
78.2,7.132e+04,1.193e+05,4.173e+03,1.947e+05
79.8,6.121e+04,9.555e+04,3.106e+03,1.599e+05
81.4,5.291e+04,7.295e+04,1.651e+03,1.275e+05
83.0,4.265e+04,5.162e+04,1.496e+03,9.576e+04
84.6,2.817e+04,3.278e+04,1.557e+03,6.251e+04
86.2,1.442e+04,2.174e+04,1.206e+03,3.736e+04
87.8,6.546e+03,1.806e+04,1.036e+03,2.564e+04
89.4,3.675e+03,1.996e+04,9.317e+02,2.456e+04
91.0,2.981e+03,2.504e+04,8.152e+02,2.883e+04
92.6,3.658e+03,3.354e+04,8.901e+02,3.809e+04
94.2,5.766e+03,4.717e+04,1.950e+03,5.489e+04
95.8,1.200e+04,6.900e+04,4.248e+03,8.525e+04
97.4,2.406e+04,9.317e+04,7.266e+03,1.245e+05
99.0,2.680e+04,8.847e+04,5.135e+03,1.204e+05
100.5,3.476e+04,8.271e+04,5.015e+03,1.225e+05
102.1,3.862e+04,7.030e+04,5.435e+03,1.144e+05
103.7,3.704e+04,5.999e+04,4.051e+03,1.011e+05
105.3,3.463e+04,5.554e+04,2.599e+03,9.277e+04
106.9,3.024e+04,6.107e+04,2.752e+03,9.406e+04
108.5,2.392e+04,7.863e+04,3.902e+03,1.065e+05
110.1,1.852e+04,9.715e+04,5.146e+03,1.208e+05
111.7,1.485e+04,1.174e+05,5.414e+03,1.376e+05
113.3,1.168e+04,1.264e+05,4.848e+03,1.429e+05
114.9,9.555e+03,1.500e+05,5.206e+03,1.647e+05
