freq,psd_x,psd_y,psd_z,psd_xyz
116.5,8.125e+03,1.728e+05,5.778e+03,1.867e+05
118.1,7.199e+03,1.754e+05,5.539e+03,1.882e+05
119.7,6.377e+03,1.720e+05,5.167e+03,1.835e+05
121.3,5.819e+03,1.639e+05,4.870e+03,1.746e+05
122.9,5.314e+03,1.548e+05,4.575e+03,1.647e+05
124.5,5.031e+03,1.458e+05,4.221e+03,1.550e+05
126.1,4.966e+03,1.367e+05,3.860e+03,1.455e+05
127.7,4.859e+03,1.269e+05,3.468e+03,1.352e+05
129.3,4.593e+03,1.146e+05,3.197e+03,1.224e+05
130.9,4.165e+03,9.546e+04,3.057e+03,1.027e+05
132.5,2.949e+03,5.868e+04,2.339e+03,6.396e+04
134.1,1.279e+03,1.147e+04,9.618e+02,1.371e+04
135.7,8.731e+02,2.426e+03,6.621e+02,3.961e+03
137.3,7.388e+02,2.156e+03,6.531e+02,3.548e+03
138.9,5.992e+02,1.991e+03,6.172e+02,3.208e+03
140.4,4.563e+02,2.001e+03,5.857e+02,3.043e+03
142.0,3.569e+02,2.068e+03,5.815e+02,3.006e+03
143.6,2.775e+02,1.997e+03,5.984e+02,2.872e+03
145.2,2.073e+02,1.957e+03,6.443e+02,2.808e+03
146.8,1.691e+02,1.994e+03,7.371e+02,2.900e+03
148.4,1.478e+02,1.910e+03,9.580e+02,3.015e+03
150.0,1.331e+02,1.775e+03,1.138e+03,3.046e+03
151.6,1.152e+02,1.615e+03,1.175e+03,2.905e+03
153.2,1.235e+02,1.508e+03,1.168e+03,2.799e+03
154.8,1.216e+02,1.653e+03,1.084e+03,2.859e+03
156.4,1.124e+02,1.797e+03,1.078e+03,2.987e+03
158.0,1.251e+02,1.765e+03,1.154e+03,3.045e+03
159.6,1.762e+02,1.479e+03,9.614e+02,2.617e+03
161.2,2.845e+02,1.173e+03,7.956e+02,2.253e+03
162.8,4.281e+02,8.582e+02,7.202e+02,2.006e+03
164.4,6.189e+02,7.124e+02,6.961e+02,2.027e+03
166.0,7.974e+02,1.043e+03,7.539e+02,2.594e+03
167.6,9.338e+02,1.556e+03,9.364e+02,3.427e+03
169.2,1.057e+03,1.880e+03,1.087e+03,4.024e+03
170.8,1.073e+03,2.076e+03,1.052e+03,4.201e+03
172.4,9.593e+02,2.148e+03,1.103e+03,4.211e+03
174.0,7.718e+02,2.243e+03,1.329e+03,4.344e+03
175.6,6.157e+02,2.512e+03,1.666e+03,4.794e+03
177.2,4.985e+02,2.984e+03,1.967e+03,5.449e+03
178.8,4.419e+02,3.844e+03,2.242e+03,6.528e+03
180.3,3.653e+02,4.446e+03,2.377e+03,7.188e+03
181.9,3.152e+02,4.891e+03,2.287e+03,7.494e+03
183.5,4.001e+02,5.215e+03,2.360e+03,7.975e+03
185.1,5.567e+02,5.223e+03,2.390e+03,8.170e+03
186.7,7.471e+02,4.936e+03,2.324e+03,8.007e+03
188.3,9.359e+02,5.030e+03,2.363e+03,8.330e+03
189.9,1.166e+03,5.129e+03,2.650e+03,8.946e+03
191.5,1.429e+03,4.742e+03,2.846e+03,9.017e+03
193.1,1.668e+03,4.699e+03,3.062e+03,9.429e+03
194.7,2.226e+03,5.810e+03,4.015e+03,1.205e+04
196.3,2.802e+03,5.861e+03,4.804e+03,1.347e+04
197.9,2.937e+03,5.252e+03,4.793e+03,1.298e+04
199.5,2.916e+03,4.764e+03,4.722e+03,1.240e+04
