freq,psd_x,psd_y,psd_z,psd_xyz
173.9,7.891e+02,3.217e+03,1.653e+03,5.658e+03
175.5,7.110e+02,3.277e+03,1.828e+03,5.816e+03
177.1,5.803e+02,3.752e+03,2.081e+03,6.413e+03
178.7,4.192e+02,5.075e+03,2.457e+03,7.951e+03
180.3,3.288e+02,6.538e+03,2.901e+03,9.767e+03
181.9,3.583e+02,7.485e+03,3.198e+03,1.104e+04
183.5,4.235e+02,8.022e+03,3.433e+03,1.188e+04
185.1,5.085e+02,8.001e+03,3.592e+03,1.210e+04
186.7,6.490e+02,7.845e+03,3.776e+03,1.227e+04
188.3,8.721e+02,7.700e+03,4.111e+03,1.268e+04
189.9,1.246e+03,8.453e+03,5.211e+03,1.491e+04
191.5,1.609e+03,9.737e+03,6.389e+03,1.774e+04
193.1,2.118e+03,1.073e+04,7.751e+03,2.060e+04
194.7,2.385e+03,1.197e+04,8.836e+03,2.320e+04
196.3,2.304e+03,1.105e+04,8.681e+03,2.204e+04
197.9,2.272e+03,9.186e+03,8.111e+03,1.957e+04
199.5,2.317e+03,7.897e+03,7.498e+03,1.771e+04
